content,n_words,clean,count_clean,review_without_stopwords,count_without_stopwords
"helpful app, hopefully in the future it can be ordered directly from the nearest pharmacy so you don't have to wait too long for the medicine",26,helpful app hopefully in the future it can be ordered directly from the nearest pharmacy so you dont have to wait too long for the medicine,26,helpful app hopefully future ordered directly nearest pharmacy dont wait long medicine,12
"very helpful. i looked in pharmacies around the house and they were all empty, but hallodoc helped me.",18,very helpful  looked in pharmacies around the house and they were all empty but hallodoc helped me,17,helpful looked pharmacies around house empty hallodoc helped,8
very helpful,2,very helpful,2,helpful,1
"this application is very helpful, since the beginning of the launch, especially now there is a cheap consultation. i want to ask when will there be another drive thru for the covid-19 booster vaccine? it is very helpful for the community",41,this application is very helpful since the beginning of the launch especially now there is  cheap consultation  want to ask when will there be another drive thru for the covid booster vaccine it is very helpful for the community,39,application helpful since beginning launch especially cheap consultation want ask another drive thru covid booster vaccine helpful community,18
definitely helpful,2,definitely helpful,2,definitely helpful,2
good consultation,2,good consultation,2,good consultation,2
"loading keeps going round and round, can't be opened. even though the internet is fast, downloading is 5mb/s",18,loading keeps going round and round cant be opened even though the internet is fast downloading is mbs,18,loading keeps going round round cant opened even though internet fast downloading mbs,13
"there are so many damn bugs, for example alokdokter is more efficient, the consul is not finished yet, time runs out, it should be according to needs, it's annoying 😡😡😡 better alokdokter!!!",32,there are so many damn bugs for example alokdokter is more efficient the consul is not finished yet time runs out it should be according to needs its annoying better alokdokter,31,many damn bugs example alokdokter efficient consul finished yet time runs according needs annoying better alokdokter,16
fast response,2,fast response,2,fast response,2
very good,2,very good,2,good,1
convenience to consult with doctor,5,convenience to consult with doctor,5,convenience consult doctor,3
it's good. but why is the pharmacy chosen so far from home? poor gojek driver,15,its good but why is the pharmacy chosen so far from home poor gojek driver,15,good pharmacy chosen far home poor gojek driver,8
